time_ms,balance,unrealized_pnl,equity
1648742400000,493.1715911983763,0.0,493.1715911983763
1648756800000,493.1715911983763,0.0,493.1715911983763
1648771200000,493.1715911983763,0.0,493.1715911983763
1648785600000,493.1715911983763,0.0,493.1715911983763
1648800000000,493.1715911983763,0.0,493.1715911983763
1648814400000,493.1715911983763,0.0,493.1715911983763
1648828800000,493.1715911983763,0.0,493.1715911983763
1648843200000,493.1715911983763,0.0,493.1715911983763
1648857600000,493.1715911983763,0.0,493.1715911983763
1648872000000,493.1715911983763,0.0,493.1715911983763
1648886400000,493.1715911983763,0.0,493.1715911983763
1648900800000,493.1715911983763,-3.965502496660645,489.20608870171566
1648915200000,493.1715911983763,-4.447300495562716,488.72429070281356
1648929600000,493.1715911983763,-8.272630142642303,484.898961055734
1648944000000,493.1715911983763,-6.583029697817071,486.5885615005592
1648958400000,493.1715911983763,-1.3955199587695692,491.7760712396067
1648972800000,493.1715911983763,-2.445172709178727,490.72641848919756
1648987200000,493.1715911983763,-0.3994547279211563,492.7721364704551
1649001600000,493.1715911983763,-1.4618890698759766,491.70970212850034
1649016000000,499.0325012278217,0.0,499.0325012278217
1649030400000,499.0325012278217,-2.97900170124566,496.05349952657605
1649044800000,499.0325012278217,-1.955511534229929,497.07698969359177
1649059200000,499.0325012278217,-3.691164060804101,495.34133716701757
1649073600000,491.8805394273709,0.0,491.8805394273709
1649088000000,491.8805394273709,0.0,491.8805394273709
1649102400000,491.8805394273709,0.0,491.8805394273709
1649116800000,491.8805394273709,0.0,491.8805394273709
1649131200000,491.8805394273709,0.0,491.8805394273709
1649145600000,491.8805394273709,-0.4543551625119783,491.4261842648589
1649160000000,484.83107707829697,0.0,484.83107707829697
1649174400000,484.83107707829697,0.6364809468616772,485.46755802515867
1649188800000,484.83107707829697,-3.9685000719526378,480.86257700634434
1649203200000,477.8826451937925,0.0,477.8826451937925
1649217600000,477.8826451937925,0.0,477.8826451937925
1649232000000,477.8826451937925,0.0,477.8826451937925
1649246400000,477.8826451937925,0.0,477.8826451937925
1649260800000,477.8826451937925,0.0,477.8826451937925
1649275200000,477.8826451937925,0.0,477.8826451937925
1649289600000,477.8826451937925,0.0,477.8826451937925
1649304000000,477.8826451937925,0.0,477.8826451937925
1649318400000,477.8826451937925,0.0,477.8826451937925
1649332800000,477.8826451937925,0.0,477.8826451937925
1649347200000,477.8826451937925,0.0,477.8826451937925
1649361600000,477.8826451937925,0.0,477.8826451937925
1649376000000,477.8826451937925,0.0,477.8826451937925
1649390400000,477.8826451937925,0.0,477.8826451937925
1649404800000,477.8826451937925,0.0,477.8826451937925
1649419200000,477.8826451937925,0.0,477.8826451937925
1649433600000,477.8826451937925,0.0,477.8826451937925
1649448000000,477.8826451937925,0.0,477.8826451937925
