symbol,side,entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,pnl,pnl_pct,reason,leverage,leverage_tier,partials_json
ETHUSDT,short,1631491200000,1631505600000,3406.5,3289.1074999999996,0.03910499990391361,4.446626249365915,3.4461323939527486,TRAILING_STOP,5.0,major,"[{""fill_price"":3338.37,""level"":0.02,""pnl"":1.542340815959748,""qty"":0.02394183667586548,""size"":0.3,""time_ms"":1631491200000},{""fill_price"":3304.305,""level"":0.03,""pnl"":1.6508576354127245,""qty"":0.016759285673105834,""size"":0.3,""time_ms"":1631491200000}]"
BTCUSDT,short,1631491200000,1631520000000,46027.5,44893.45,0.0028941650572523324,3.1374007531228134,2.463853131280219,TRAILING_STOP,5.0,major,"[{""fill_price"":45106.95,""level"":0.02,""pnl"":1.5423408159597505,""qty"":0.001771937790154489,""size"":0.3,""time_ms"":1631491200000},{""fill_price"":44646.674999999996,""level"":0.03,""pnl"":1.6508576354127271,""qty"":0.0012403564531081423,""size"":0.3,""time_ms"":1631491200000}]"
ETHUSDT,short,1631520000000,1631534400000,3205.1,3285.2274999999995,0.086677845998286,-7.254691289365519,-2.4999999999999876,stop_loss,5.0,major,[]
BTCUSDT,short,1631534400000,1631534400000,44875.0,45996.87499999999,0.006229188557010992,-7.2997028365439345,-2.499999999999984,stop_loss,5.0,major,[]
BTCUSDT,short,1631548800000,1631563200000,44353.0,45461.825,0.006122217778618455,-7.090894383495769,-2.4999999999999933,stop_loss,5.0,major,[]
ETHUSDT,short,1631548800000,1631563200000,3202.4,3282.4599999999996,0.08479225741164886,-7.090894383495742,-2.499999999999984,stop_loss,5.0,major,[]
BTCUSDT,short,1631606400000,1631620800000,45700.0,46842.49999999999,0.005771276177142736,-6.887431611478311,-2.499999999999984,stop_loss,5.0,major,[]
ETHUSDT,short,1631606400000,1631620800000,3312.9,3395.7225,0.07961221929289233,-6.887431611478334,-2.499999999999993,stop_loss,5.0,major,[]
ETHUSDT,long,1631721600000,1631750400000,3497.0,3566.1925,0.035895895154238744,2.3442799358708553,1.9786245353159884,TRAILING_STOP,5.0,major,"[{""fill_price"":3566.94,""level"":0.02,""pnl"":1.4516922611012764,""qty"":0.021977078665860454,""size"":0.3,""time_ms"":1631736000000},{""fill_price"":3601.9100000000003,""level"":0.03,""pnl"":1.5538656041327314,""qty"":0.015383955066102318,""size"":0.3,""time_ms"":1631736000000}]"
BTCUSDT,long,1631793600000,1631937600000,47908.5,48588.0,0.005408615474368531,3.388102360116095,1.4183286890635274,time_exit,5.0,major,[]
